video_id,title,channel,raw_views,log_views,in_degree_cent,betweenness,eigenvector,pagerank,influence,parsed_views,community,origin_query,parent_video,clean_title,doc_vector,cluster,thumbnail_path
6GcGe95E8tI,What Types of Fertility Lubricant Are Safe While TTC? | What to know BEFORE buying,Premom Fertility & Ovulation Tracker,10530,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,10530,36,can we use lubricant to conceive,,types fertility lubricant safe ttc know buying,"[-3.96282924e-03 -1.79556257e-03 -2.54503521e-03  2.28793686e-03
 -2.15778057e-03 -4.69497405e-03  4.88416292e-04  1.00769391e-02
 -1.31810328e-03 -1.38775341e-03  2.55673047e-04 -2.36114324e-03
  2.18491512e-03  1.42334189e-04 -2.19280110e-03 -3.21087334e-03
  1.98787008e-03 -6.13393029e-03  1.45236531e-03 -1.27559528e-02
  1.54257624e-03 -1.54253456e-03  1.29698974e-03 -5.36917895e-03
  4.39316180e-04 -7.30135143e-05 -2.89644557e-03 -4.71366616e-03
 -2.76372791e-03 -8.80396750e-04  5.55759482e-03  3.94651992e-03
  2.30982620e-03  4.63093072e-03 -2.71232519e-03  7.86625687e-03
 -1.88577455e-03 -3.69177363e-03 -2.21334468e-03 -9.92992241e-03
  1.88627990e-03 -5.42231975e-03 -1.93703294e-04 -3.61460540e-03
  4.20612982e-03  1.12694560e-03 -2.88116769e-03 -6.09259075e-03
 -5.73915662e-04  6.67618879e-04  1.06410868e-03 -1.29575736e-03
 -2.28332728e-03  2.60042702e-03 -1.02823041e-03  1.63781107e-04
 -2.46563717e-03 -5.71624085e-04 -5.72864199e-03  1.04900566e-03
  9.93008725e-05 -3.46398534e-04  5.95518015e-03 -5.43408794e-03
 -8.39939341e-03  1.25774252e-03 -1.72160473e-03  7.52624255e-05
 -7.43864896e-03  3.99150793e-03 -1.21663266e-03  5.78340190e-03
  2.64392630e-03  1.76119525e-03  2.69408524e-03  1.32437039e-03
  2.27535702e-03 -3.80513887e-03 -3.97974811e-03  4.59564617e-03
  1.97040080e-03 -1.78480463e-03 -4.86294227e-03  4.28706175e-03
 -3.10107390e-03  1.15657959e-03  7.27785984e-04  5.27987862e-03
  8.31974950e-03 -1.06543116e-03  9.69217217e-04  2.82753911e-03
  3.11160227e-04  4.42945445e-03  3.46403546e-03  4.05815570e-03
  3.71605228e-03 -6.80495473e-03  2.41081114e-03  2.11163354e-03]",26,thumbnails/6GcGe95E8tI_max.jpg
ponFUFP2IAI,Steve Harvey: Baby Oil vs Lube?,Dr. Streicher TV,16912,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,16912,9,is baby oil good as a sex lubricant,,steve harvey baby oil lube,"[-2.27211532e-03  2.03853496e-03  1.58994645e-03  2.05504079e-03
 -1.62605313e-03 -1.53316464e-03  3.45632364e-03  8.35921057e-03
 -4.38311696e-03 -3.62048944e-04 -1.66047201e-03  1.44522940e-03
 -6.54614856e-03  2.26982916e-03  1.86468544e-03 -3.74250859e-03
 -2.57770182e-03 -9.94826481e-03 -1.71254203e-03 -1.03268670e-02
  4.94510960e-03 -1.96783058e-03  3.71968863e-03 -3.33638792e-03
 -6.92384318e-03 -7.81752460e-04 -7.55502284e-03  6.63139683e-04
 -3.82925640e-03  2.56227027e-03  6.19936828e-03 -1.72097771e-03
  5.35313797e-04 -2.36029434e-03  8.85700807e-04  5.98822662e-04
  1.13851321e-03 -4.53062588e-03 -7.45637482e-03 -7.02916551e-03
  2.02568690e-03 -4.61584609e-03 -8.73621262e-04  2.27871560e-03
  5.18252561e-03 -8.55728635e-04  6.77186297e-04 -1.37750874e-03
  2.45912164e-03  3.74097866e-03  6.64867740e-03  2.09778966e-03
  4.75042546e-03  1.64595398e-03 -6.69470662e-03  3.05614364e-03
 -1.31428428e-03  5.38542215e-03 -6.66778535e-03 -3.68653052e-03
  1.68864892e-04  7.27341539e-05  1.05868967e-03 -1.47796422e-03
 -5.03058825e-03  1.40103779e-03  6.99370122e-03  5.44726010e-03
 -3.29192658e-03  8.46336130e-03 -7.02229002e-03  5.50518185e-03
  7.75807537e-04  2.79828859e-03  2.58609909e-03  8.68517149e-04
 -2.59645260e-03  4.66163643e-03 -3.48901004e-03 -2.45530298e-03
 -2.85063009e-03  1.29831175e-03 -3.63259716e-03  3.00579867e-03
 -3.21347779e-03  1.84561056e-03  1.45042012e-03  5.81780868e-03
  2.23177741e-03 -1.37835552e-04  4.88626538e-03  1.46339997e-03
 -1.96878123e-03 -7.62207492e-04  9.39263683e-03  4.54676664e-03
  8.88309733e-04 -1.37999596e-03 -2.58144061e-03 -1.08151369e-04]",19,thumbnails/ponFUFP2IAI_high.jpg
CuLgIz2LV4o,Using baby oil then vs now 💀 @Onevilage,CeeComics,3922618,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,3922618,2,is baby oil good as a sex lubricant,,using baby oil onevilage,"[ 2.19435687e-03  1.10472471e-03 -3.62695049e-04 -2.68572127e-03
 -1.19081570e-03 -8.63075722e-03  3.71955888e-04  8.51250160e-03
 -6.03472057e-04  5.66280913e-04  1.15250971e-03  1.15688494e-03
 -4.38537821e-03 -2.93205655e-03  2.07854784e-03 -2.82560871e-03
  3.93695990e-03 -8.79013166e-03 -1.14876930e-04 -1.00377863e-02
  7.46120408e-04 -3.12955328e-03  4.01739450e-03 -1.14432918e-02
 -7.54572218e-03 -1.29640952e-03 -2.88984179e-03 -1.26796972e-03
 -3.51161398e-05 -1.02677906e-03  9.46088694e-03 -4.06774087e-03
 -1.07311027e-03 -2.90829572e-03  6.67364162e-04 -6.83528080e-04
  5.42962051e-04 -3.87057639e-03 -6.27144566e-03 -8.83743260e-03
  3.01519851e-03 -2.91806762e-03  4.23884811e-03 -3.30928643e-03
  4.43208637e-03 -3.81523557e-03 -1.64417492e-03  1.53627375e-03
 -8.36787513e-05  6.89306622e-03  5.35472622e-03 -1.69528089e-03
  4.84843319e-03  7.24250870e-03 -1.00599965e-02  7.33607961e-03
  4.98130545e-03  6.55659987e-03 -3.39402934e-03  6.04105473e-04
  1.09163870e-03  2.93004763e-04  1.97289791e-03  8.90344381e-06
 -4.94237617e-03  8.37282930e-03  3.95457447e-03  3.75716202e-03
 -8.88677407e-03  7.44554540e-03 -7.40040466e-03  7.61381164e-03
  1.33464800e-03 -1.34845451e-03  9.08675138e-03  7.32754357e-04
  4.91462357e-04  1.06143532e-03 -6.33338606e-03 -1.62438222e-03
 -5.63456910e-03  5.60898380e-03 -8.68029427e-03  6.46310346e-03
 -1.13083946e-03  3.48030560e-04 -3.61397676e-03  3.30272852e-03
  1.89198961e-03  1.58981048e-03  4.24212823e-03 -2.80958530e-03
 -6.64953655e-03 -1.39416501e-04  6.14995277e-03  1.50434568e-03
  1.18811568e-03 -4.10711905e-03 -2.50203419e-03 -1.35942933e-03]",19,thumbnails/CuLgIz2LV4o_max.jpg
5Cg347Zu6S0,BABY OIL PAMPADULAS,SaramiFC,176855,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,176855,3,is baby oil good as a sex lubricant,,baby oil pampadulas,"[ 0.00179791  0.00301584  0.00412935 -0.00021013 -0.004514   -0.0080931
 -0.00302324  0.01031007 -0.00427962 -0.00300744 -0.00234651 -0.00110367
 -0.002335    0.00035629  0.00643833 -0.00250705  0.00301377 -0.01249979
  0.00159328 -0.01378318  0.00254106 -0.00203002  0.00323897 -0.01116304
 -0.01098832  0.00034194 -0.00704457  0.00178991  0.00081513  0.0011303
  0.00742791 -0.00362041 -0.00386493 -0.00522188 -0.00243292 -0.00014302
  0.00349748 -0.00117311 -0.01119496 -0.00668479  0.00143571 -0.00186864
  0.00328439 -0.00162114  0.00429778 -0.00574428  0.00225835 -0.00122752
  0.00014343  0.00648741  0.00645201 -0.00389105  0.00607705  0.00652031
 -0.00960265  0.00567981  0.00332537  0.00892793 -0.00426572 -0.00175801
 -0.00063268  0.00137535  0.00100441  0.00107885 -0.00741225  0.00760297
  0.00845138  0.00359852 -0.00628387  0.00974609 -0.005293    0.0087032
  0.00105836 -0.00138296  0.00867044  0.00398589  0.00040235  0.00353942
 -0.00552367  0.00055667 -0.00402771  0.00422893 -0.00709296  0.00516448
  0.00094346  0.00094312 -0.00705911  0.00650192  0.00385885  0.00662807
  0.00893628 -0.00289868 -0.00816249 -0.00096869  0.00668872  0.00440779
  0.00277624 -0.00341844 -0.00094973  0.00202108]",19,thumbnails/5Cg347Zu6S0_max.jpg
zr-uefaMeJU,Is it safe to use Johnson's baby oil for adult skin?,Health·WHYS,9469,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,9469,10,is baby oil good as a sex lubricant,,safe use johnson baby oil adult skin,"[-1.06846518e-03 -7.02902689e-05 -1.87414256e-03  1.36036426e-03
 -6.18583348e-04 -2.98291631e-03 -1.82073191e-03  9.71105136e-03
 -2.89905607e-03 -9.33918986e-04 -1.25998817e-03 -2.11400283e-03
 -2.39209877e-03  9.11424751e-04  2.83753430e-03 -4.61330730e-03
  2.41067872e-04 -6.17538299e-03 -3.29306349e-04 -1.25291646e-02
  7.15430186e-04 -2.51629273e-03  3.23619321e-03 -8.13320093e-03
 -1.38232508e-03 -1.61443721e-03 -4.79471346e-04 -4.38540068e-04
 -2.72410130e-03  4.94304812e-03  6.83871796e-03 -3.17156687e-03
  8.12217128e-04 -4.61220182e-03 -1.91523915e-03  1.77927571e-03
 -9.51644033e-04 -1.44102878e-03 -4.24449425e-03 -9.70115326e-03
  7.43062119e-04 -5.01215085e-03  2.06396260e-04 -1.95797835e-03
  6.81655109e-03 -3.22300429e-03  2.27330159e-03 -3.67881730e-03
  1.91656384e-03  4.63671051e-03  5.51364105e-03 -4.38252464e-03
  2.73423223e-03  1.71709433e-03 -6.64177164e-03  2.18891911e-03
  9.62993014e-04  5.35152806e-03 -9.50098224e-03  1.61835994e-03
 -8.08880082e-04  9.73848742e-04  4.41871118e-03 -5.85031754e-04
 -9.56444163e-03  5.06424997e-03  8.92710406e-03  8.15452356e-03
 -1.08465608e-02  1.09342057e-02 -1.31520745e-03  5.09181665e-03
  5.21340454e-03 -6.48464717e-04  3.46317375e-03  4.03890293e-03
  2.46505882e-03  2.53958884e-03 -4.87049622e-03  8.46035953e-04
 -1.21308374e-03 -2.38303980e-03 -6.95108902e-03  4.85116197e-03
  7.20345532e-04 -4.69618390e-04 -2.08627246e-03  3.51943751e-03
  6.29465515e-03  4.31990717e-03  3.74185434e-03  2.73976708e-04
 -2.69509852e-03 -3.00244894e-04  6.68399921e-03  7.56383687e-03
  4.92807571e-03 -4.81671561e-03  2.99969828e-03 -1.20343082e-03]",19,thumbnails/zr-uefaMeJU_max.jpg
6zqgyDxNKYE,Is it safe to use baby oil for sexual purposes?,Health·WHYS,2650,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,2650,9,which lubricant use sex,,safe use baby oil sexual purposes,"[-2.36947206e-03  2.47651967e-03  2.19962749e-04  2.96700140e-03
  1.05982134e-03 -4.57283668e-03  5.99069870e-04  7.35421712e-03
 -6.02734275e-03  3.05556168e-04 -5.01406565e-03 -1.73720042e-03
 -9.88974003e-04  2.76254839e-03  3.36325099e-03 -7.59290997e-03
 -7.78187095e-05 -2.68688123e-03 -3.07983835e-03 -9.76728834e-03
  4.02434438e-04 -4.04149434e-03  3.86508694e-03 -6.03949837e-03
 -3.45712411e-03 -6.34518437e-05  2.38212713e-04 -2.61075096e-03
 -4.74039372e-03  2.60418747e-03  7.77256116e-03 -2.43784999e-03
 -3.32671218e-04 -2.71802535e-03 -1.71116483e-03  3.30346939e-03
 -2.88414158e-04  1.15887728e-03 -4.34769597e-03 -7.41399825e-03
 -9.51817725e-04 -4.25537350e-03  7.21789896e-04  5.56160230e-05
  2.95299594e-03 -9.69597313e-04  2.53924215e-03 -4.28585708e-03
  2.51626642e-03  4.69615823e-03  6.40046224e-03 -3.02443793e-03
  3.18390876e-03  2.07392266e-03 -8.38951301e-03  4.73164208e-03
  1.56561699e-04  5.90486173e-03 -9.69293155e-03 -1.56535007e-05
  2.00550165e-03 -4.51722328e-04  4.60522342e-03 -1.02439651e-03
 -6.70046220e-03  4.21068491e-03  9.16132424e-03  6.06693514e-03
 -7.53606251e-03  8.57678801e-03 -9.40962345e-04  6.66321814e-03
  4.56143077e-03  1.14217703e-03  4.85439412e-03  6.86575007e-03
  4.69680596e-03  2.72389525e-03 -2.27098214e-03  2.79735395e-04
 -3.28096608e-03  9.49484311e-05 -7.01630255e-03  1.34721608e-03
 -1.40265364e-03 -2.66367383e-03 -2.89498828e-04  4.96265059e-03
  8.32860637e-03  3.20461905e-03  4.37506521e-03  7.73183594e-04
 -2.13906122e-03  1.41210086e-03  4.55292175e-03  7.21018761e-03
  3.64905410e-03 -5.25475014e-03  2.28959369e-03  2.59626366e-04]",19,thumbnails/6zqgyDxNKYE_max.jpg
xfTy5k1GZig,Is baby oil good for your vag?,Λsk Λbout Now,8486,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,8486,14,is baby oil good as a sex lubricant,,baby oil good vag,"[-1.01791542e-04 -4.77514841e-04  2.90216785e-03 -1.20823679e-03
 -4.38421639e-03 -7.21691921e-03 -4.26854793e-04  6.47546770e-03
 -2.64796917e-03 -2.07164069e-03 -4.04972903e-04 -9.92672634e-04
 -4.95411782e-03  1.11373735e-03  5.89123880e-03  3.73947732e-05
 -5.83829649e-04 -1.04950974e-02  1.26372569e-03 -1.03118727e-02
  3.97037808e-03 -3.37249599e-03 -5.28774865e-04 -7.27858394e-03
 -7.24162767e-03 -2.16684514e-03 -4.79270611e-03  1.85033027e-03
 -6.66961365e-04 -1.03222183e-03  8.93640239e-03 -2.66021490e-03
 -2.64796615e-03 -1.06538227e-03 -4.71848948e-03 -1.41654664e-03
  3.73682496e-03 -3.79028800e-03 -1.08902967e-02 -4.52154642e-03
 -1.65141886e-04 -1.42662402e-03  1.99388084e-03  1.34125829e-03
  3.37880407e-03 -6.12454070e-03  2.31085322e-03  1.97819644e-03
 -6.87836204e-04  5.44558093e-03  1.84315199e-03 -7.20204189e-05
  6.83842786e-03  2.24824250e-03 -9.69062094e-03  6.61747390e-03
  1.78127829e-03  7.02377921e-03 -4.85697761e-03 -3.65683489e-04
 -8.85123096e-04  3.78761138e-03  2.66633532e-03  2.81063397e-03
 -7.71303708e-03  8.29395745e-03  6.77617779e-03  5.97540708e-03
 -3.26083670e-03  6.82174461e-03 -2.68889219e-03  6.75027259e-03
  2.79225037e-03  1.58286793e-03  3.33757582e-03  9.05669294e-04
  3.18802823e-03 -1.02684775e-03 -3.52021656e-03 -1.53630588e-03
 -2.74537900e-03  2.70860735e-03 -8.54717568e-03  2.40146718e-03
 -1.59308559e-03  1.00397877e-03 -2.09115283e-03  3.89964669e-03
  2.09634262e-03  2.58946582e-03  8.68938770e-03 -3.10621411e-03
 -7.38812424e-03 -2.36480800e-03  5.78956818e-03  6.99994713e-03
  4.43524681e-03 -3.74363363e-03  2.24367087e-03 -1.88996550e-04]",19,thumbnails/xfTy5k1GZig_max.jpg
xmJhCj8bIwA,Which Lubricant is BEST?! | OBGYN Explains,Alirod MD,106412,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,106412,6,how to use sexual lubricant,,lubricant best obgyn explains,"[ 0.00126667  0.00221288  0.0022761   0.00640575 -0.0067541  -0.00623096
  0.00345361  0.00901571 -0.00574025  0.00234413  0.00064113 -0.00412787
 -0.00080397  0.00612019 -0.00526641 -0.0061215   0.00790559 -0.00608309
 -0.00238675 -0.01243946  0.0035883   0.00172469  0.00615811 -0.00109409
  0.00220579  0.00335991 -0.00489977 -0.00454579 -0.00558331  0.00211874
  0.00497004 -0.00088991  0.00416225 -0.0040194  -0.00235615 -0.00054294
 -0.00260861 -0.01099144 -0.00391061 -0.01386035  0.00049476 -0.00140562
 -0.00243663 -0.00162702  0.00255913  0.00136215 -0.00348456 -0.0040973
 -0.00042426  0.00296147  0.00410217 -0.00129375 -0.00704218  0.00232485
 -0.0041462  -0.00566616  0.00200223 -0.00207325 -0.00838062 -0.00101187
 -0.00289281  0.0006585  -0.00097485 -0.00219842 -0.00760751  0.0039479
  0.00110798  0.00658154 -0.00800625  0.00450975 -0.00037153  0.00986317
  0.00038094 -0.00357336  0.00792235 -0.00300677  0.00056512 -0.00025237
 -0.0039295   0.00074634 -0.00118433 -0.00345215 -0.00157986  0.00761556
 -0.00435579  0.00085153  0.00493565  0.0019178  -0.00100719  0.0028908
  0.00514822 -0.00068398 -0.00253097  0.00185492  0.00867341  0.00500104
  0.00012832 -0.00313426 -0.00222103  0.0022726 ]",4,thumbnails/xmJhCj8bIwA_max.jpg
2th2arguQW0,Should You Use Olive Oil as a Personal Lubricant?,The Doctors,123386,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,123386,7,how to use sexual lubricant,,use olive oil personal lubricant,"[ 1.68936735e-03  2.79789558e-03 -1.52209960e-03  6.23658823e-04
 -6.33434684e-04 -4.79719741e-03  3.46507574e-03  8.14240240e-03
 -9.37877968e-03 -1.05450081e-03 -2.54977657e-03 -2.28603045e-03
  2.89795687e-03  1.72548310e-03  1.46071590e-03 -5.29532274e-03
  1.14663295e-03  6.87305001e-05 -1.22927141e-03 -1.28301056e-02
 -1.29152532e-03 -1.67035614e-03  2.20280280e-03 -7.96643458e-03
 -4.68399981e-03 -1.05752063e-03 -2.41612154e-03 -4.78498032e-03
 -5.49691031e-03  2.79379962e-03  6.55884668e-03  1.86537986e-03
 -9.57996876e-04  6.26750407e-04 -4.27311193e-03  3.73928878e-03
 -4.45474964e-03 -6.40137703e-04 -6.22928981e-03 -1.24641405e-02
  2.99929897e-03 -4.96600056e-03  2.33891909e-03  2.57025636e-03
  4.51200828e-03  1.09485816e-03  1.16542610e-03 -7.35755358e-03
  2.16716435e-03 -1.02358754e-03  1.12296327e-03 -7.86468666e-03
  4.81276598e-04 -2.88186129e-05 -6.27097348e-03 -1.70043239e-03
 -7.66127836e-04  1.78709195e-03 -8.44518002e-03 -5.79592597e-04
  2.42374744e-03 -3.94834729e-04  3.82853416e-03 -9.73957591e-04
 -9.58039705e-03  7.97876902e-03  4.51061223e-03  3.06189712e-03
 -1.17667709e-02  5.43335918e-03 -3.33084469e-03  5.49730286e-03
  5.71636157e-03 -1.01480121e-03  3.89620732e-03  3.77086736e-03
  2.95547070e-03  3.04866326e-03 -3.86105059e-03 -1.14323548e-03
  1.91205333e-03  1.53900089e-03 -8.76525789e-03  3.28164315e-03
 -2.36275140e-03 -2.54206872e-03  7.11060129e-04  1.79268629e-03
  8.82222317e-03  2.59736879e-03  3.43000260e-03  3.17127677e-03
 -3.48515133e-03 -3.20779014e-04  1.03264600e-02  4.72569285e-04
  2.55261594e-03 -4.96334210e-03  9.97051364e-04 -4.21850570e-03]",19,thumbnails/2th2arguQW0_max.jpg
4BgU_u2ZmHM,Is Coconut Oil Lube? | TMI Tuesday,Doctor Nicole,405784,0.0,0.0,0.0,1.6472101944691226e-18,0.0006094351513789,6.094351513789775e-05,405784,8,which lubricant better for sex,,coconut oil lube tmi tuesday,"[-3.47622484e-03  7.03307195e-03 -3.29783908e-03  1.60063151e-03
  2.95500271e-03 -2.53058295e-03  3.83499335e-03  1.18530849e-02
 -3.98797216e-03 -1.69492618e-03 -3.66644323e-04  3.14663700e-03
 -5.55887818e-03  1.15261879e-04 -1.50762184e-03 -7.09402189e-03
  1.32730824e-03 -5.14250435e-03  5.69430471e-04 -1.42673319e-02
  1.24473672e-03 -5.77495480e-03  2.34153750e-03 -1.12913933e-03
 -2.23441632e-03 -4.76655830e-03 -2.95765768e-03  7.63985794e-04
 -8.20175279e-03 -9.26763387e-05  2.63338978e-03  9.24600987e-04
  4.89853730e-04 -6.53288746e-03  1.33076997e-03  3.43008316e-03
  1.91134319e-03 -4.79991687e-03 -6.05665520e-03 -9.69274063e-03
 -1.91829912e-03 -6.71938108e-03 -9.13828320e-04  4.33612848e-03
  9.25430004e-03 -3.03686596e-03  3.33201629e-03  9.10227012e-04
  4.51567629e-03  2.12556683e-03  5.43341553e-03 -4.93109401e-04
  4.52761864e-03  1.99513463e-03 -6.03126595e-03 -2.81564239e-03
 -8.20582733e-04 -1.47096498e-03 -5.66311972e-03 -4.06375108e-03
  3.42301256e-03  1.30451738e-03  4.15156735e-03 -5.87466173e-03
 -1.00648217e-02  6.36065425e-03  9.70133115e-03  9.88987088e-03
 -1.18367104e-02  7.52930716e-03 -8.90833791e-03  8.40671267e-03
  1.32572220e-03  2.35452596e-03  6.72210427e-03  7.39633059e-03
 -5.14086941e-03  4.78143478e-03 -3.90721345e-03 -4.57015214e-03
 -3.75118782e-03  3.40668880e-03 -7.72741251e-03  2.56305095e-03
  9.54961404e-04  1.09065976e-03  2.99068238e-03  7.50334177e-04
  4.82243998e-03  3.32781370e-03  8.43782630e-03  4.81317984e-04
 -2.75086123e-03  2.30130949e-03  1.02166180e-02  2.07065162e-03
 -2.50825658e-04 -5.26651973e-03  1.74800155e-03 -3.21210339e-03]",19,thumbnails/4BgU_u2ZmHM_max.jpg
